id,ra,dec,ex,ey,ez,gama,e_class,rmag,rabsmag,redshift,rad,sern,pos,ba,g_class
9168,179.71063,-1.08997,0.48494,-0.17511,0.8568399999999999,12,0,19.8312,-19.4076,0.148295,2.71214,1.7874,-39.6607,0.5848,0
9234,180.01346,-1.18824,-0.28767,-0.44893,0.846,12,0,19.3471,-19.5875,0.130382,3.3404599999999998,0.5533,-9.2317,0.3223,0
9302,180.30208000000002,-1.12771,0.18799000000000002,-0.5021399999999999,0.84411,12,0,18.3946,-20.2801,0.116704,6.91056,1.2362,-80.099,0.1788,0
9419,181.21346,-1.22389,-0.45731000000000005,-0.6915,0.55919,12,0,19.5491,-19.007,0.11092300000000001,4.65595,1.0212,56.5071,0.8006,0
9886,183.87742,-1.2039,-0.4232,-0.75344,0.50321,12,0,19.5499,-18.8006,0.101536,4.394430000000001,0.7508,-87.671,0.28,0
9892,183.81728999999999,-1.06806,0.8574700000000001,0.10135,0.50446,12,0,19.1447,-19.6833,0.12460299999999999,4.7778599999999996,0.9446,69.6827,0.6739,0
9970,184.175,-1.1151799999999998,-0.68572,0.6169399999999999,0.38623,12,0,19.0893,-19.4426,0.109773,4.26462,0.9581,-81.8164,0.3133,0
9977,184.19917,-1.0819299999999998,0.60309,0.5875199999999999,0.5395399999999999,12,0,19.6522,-18.7841,0.105358,3.84182,0.5474,40.3928,0.1378,0
9980,184.27721,-1.09858,0.61537,0.57462,0.53957,12,0,18.2892,-20.1486,0.10542699999999999,3.8514199999999996,0.9141,78.5876,0.7678,0
10013,184.44058,-1.17116,-0.10497999999999999,0.6221899999999999,0.7758,12,0,19.424,-20.2548,0.178292,2.42362,1.8555,22.619,0.4374,1
10022,184.49383,-1.10554,-0.19742,0.61206,0.76577,12,0,19.2717,-20.4038,0.178041,2.63878,0.7478,78.082,0.8006,1
10493,212.85508,-1.05492,0.576,-0.48631,0.6570600000000001,15,0,18.2971,-20.4323,0.11947100000000001,3.16225,1.413,4.8217,0.6498,0
10638,216.83292000000003,-1.05873,0.90866,-0.4153,0.04318,15,0,18.5537,-19.9715,0.109464,4.570790000000001,0.5986,-25.4426,0.2312,0
10852,175.59267,-0.6621100000000001,0.6363,0.08557999999999999,0.76668,12,0,18.9609,-19.5582,0.109173,3.22705,1.2551,6.1536,0.4034,0
10978,176.34462,-0.8142,0.88269,-0.10505999999999999,0.45807,12,0,18.16,-20.3236,0.107519,4.8341400000000005,1.5089,69.168,0.3657,0
10991,176.35463000000001,-0.81786,0.01043,-0.07712999999999999,0.99697,12,0,19.477,-20.1015,0.170996,3.8074,0.7183,-87.006,0.4496,0
10994,176.38538,-0.7398899999999999,0.25272,-0.22603,0.9407700000000001,12,0,19.252,-19.2906,0.11028199999999999,4.9139,0.9553,26.1315,0.1484,0
11009,176.397,-0.8210200000000001,0.74617,0.6624899999999999,-0.0659,12,0,19.4533,-19.911,0.156328,3.6296800000000005,0.9668,-15.8141,0.1436,0
11060,176.78158,-0.78628,-0.08663,0.9056700000000001,0.41503999999999996,12,0,19.2595,-20.3354,0.172165,2.60918,1.739,-17.9848,0.749,1
11063,176.82783,-0.68096,-0.74239,-0.43896,0.50613,12,0,19.1112,-19.6984,0.123626,3.3024,0.8772,-21.3206,0.3091,0
11070,176.82617,-0.73235,-0.65957,0.39432,0.6399,12,0,18.5633,-20.1549,0.11890099999999999,4.99859,0.5145,12.9834,0.1974,0
11154,177.16454,-0.7437199999999999,0.8408,0.1829,0.50951,12,0,19.2861,-20.3918,0.178221,4.92753,1.1167,17.943,0.7387,1
11164,177.06011999999998,-0.81016,0.4021,-0.29984,0.86511,12,0,19.3128,-20.1076,0.16005,3.0590599999999997,0.9257,60.0485,0.3564,0
11167,177.05163000000002,-0.8226399999999999,0.34503,-0.68713,0.6393800000000001,12,0,19.7236,-19.038,0.12112300000000001,5.2043,0.8424,65.2304,0.1299,0
11193,177.18521,-0.7370899999999999,0.33463000000000004,-0.3378,0.8797299999999999,12,0,19.7208,-19.7089,0.16068,2.90908,1.5924,-64.158,0.3384,0
11235,177.46971000000002,-0.6341100000000001,0.03753,-0.5617800000000001,0.82644,12,0,19.583,-19.121,0.118177,4.3945300000000005,1.1198,-43.5195,0.7711,0
11277,177.55879,-0.77066,0.08342000000000001,-0.67184,0.73598,12,0,19.3939,-19.3966,0.122623,2.8193599999999996,0.8349,76.2596,0.2975,0
11357,177.91458,-0.63269,0.10247,-0.35076999999999997,0.93084,12,0,19.0636,-19.718,0.12215999999999999,4.99972,0.9575,31.1946,0.3285,0
11474,178.33092,-0.65888,0.34131,-0.8549700000000001,0.39057,12,0,18.7341,-19.7867,0.109253,2.86389,1.8662,-1.381,0.8781,0
11489,178.33496,-0.66057,0.21375,-0.5524899999999999,0.8056399999999999,12,0,18.9898,-19.8111,0.12317,5.43958,0.625,-55.3331,0.2046,0
11494,178.27558,-0.65917,0.10570999999999998,-0.63244,0.76737,12,0,19.7427,-19.0529,0.12289000000000001,5.50002,1.2139,-9.9161,0.1463,0
11525,178.53987,-0.73365,0.8317399999999999,0.34085,0.43821000000000004,12,0,19.2565,-20.4692,0.181799,2.5878400000000004,0.8746,-58.7594,0.3797,1
11528,178.58708000000001,-0.8077,0.31836,0.7893100000000001,0.5250100000000001,12,0,18.8894,-19.9039,0.122769,3.1903799999999998,1.5366,-7.2261,0.5029,0
11550,178.58221,-0.7770600000000001,-0.73401,0.59702,0.32371,12,0,19.7095,-19.3005,0.134623,4.10281,1.2592,-42.8929,0.2819,0
11575,178.72137,-0.8215,-0.79713,0.35708,0.4869,12,0,19.0198,-20.0129,0.135924,3.4129400000000003,1.0689,-50.1901,0.4088,0
11593,178.97225,-0.71282,0.39642,-0.55972,0.72772,12,0,18.2075,-20.2595,0.10675699999999999,3.4258900000000003,1.5758,45.1124,0.3225,0
