dum_min,dum_mean,dum_max,e_spiral_low,e_spiral_mean,e_spiral_high,e_elliptic_low,e_elliptic_mean,e_elliptic_high
0.36,0.365,0.37,0.5,1.0,1.7000000000000002,0.4475,1.0999999999999999,1.7000000000000002
0.37,0.375,0.38,0.5,1.0,1.6,0.5,1.0,1.552499999999999
0.38,0.385,0.39,0.5,1.0,1.7000000000000002,0.6,1.0,1.7999999999999998
0.39,0.395,0.4,0.5,1.0,1.7524999999999993,0.4475,1.0,1.7524999999999993
0.4,0.405,0.41000000000000003,0.5,1.0,1.552499999999999,0.6,1.0999999999999999,1.7000000000000002
0.41000000000000003,0.41500000000000004,0.42,0.5,1.0999999999999999,1.7524999999999993,0.4,1.0999999999999999,1.6
0.42,0.425,0.43,0.5475,1.0999999999999999,1.7000000000000002,0.6,1.0999999999999999,1.8524999999999994
0.43,0.435,0.44,0.6,1.0999999999999999,1.7999999999999998,0.4475,1.0,1.7000000000000002
0.44,0.445,0.45,0.4,0.8999999999999999,1.6,0.5475,1.0999999999999999,1.5
0.45,0.455,0.46,0.5475,1.0999999999999999,1.6524999999999992,0.4475,1.0,1.6049999999999984
0.46,0.465,0.47000000000000003,0.5,1.05,1.6,0.4,1.0,1.552499999999999
0.47000000000000003,0.475,0.48,0.4,1.0999999999999999,1.7524999999999993,0.5,1.0,1.7000000000000002
0.48,0.485,0.49,0.4475,1.0,1.7000000000000002,0.4475,1.0,1.7000000000000002
0.49,0.495,0.5,0.5475,1.0,1.6,0.4475,1.0,1.6
0.5,0.505,0.51,0.5,1.0,1.552499999999999,0.6,0.8999999999999999,1.6524999999999992
0.51,0.515,0.52,0.4,1.0,1.6,0.4,1.0,1.552499999999999
0.52,0.525,0.53,0.4,1.0,1.7000000000000002,0.4,1.0,1.5
0.53,0.535,0.54,0.4,1.0,1.552499999999999,0.4475,0.8999999999999999,1.552499999999999
0.54,0.545,0.55,0.4475,1.0,1.5,0.4,1.0,1.5
0.55,0.555,0.56,0.5,1.0,1.7000000000000002,0.34750000000000003,1.0,1.6
0.56,0.5650000000000001,0.5700000000000001,0.5,1.0,1.8524999999999994,0.4475,0.95,1.7000000000000002
0.5700000000000001,0.575,0.58,0.395,1.0999999999999999,1.7524999999999993,0.4,1.0,1.7000000000000002
0.58,0.585,0.59,0.4475,1.0999999999999999,1.7000000000000002,0.5,1.0,1.552499999999999
0.59,0.595,0.6,0.4,0.8999999999999999,1.8524999999999994,0.5,1.0,1.5
0.6,0.605,0.61,0.6,1.0,1.7000000000000002,0.34750000000000003,0.8999999999999999,1.5
0.61,0.615,0.62,0.4,1.0,1.5,0.5,1.0999999999999999,1.5
0.62,0.625,0.63,0.34750000000000003,1.0,1.6,0.5475,1.0,1.7000000000000002
0.63,0.635,0.64,0.4475,0.8999999999999999,1.552499999999999,0.4,0.8500000000000001,1.552499999999999
0.64,0.645,0.65,0.5,0.95,1.5,0.4,0.8999999999999999,1.452499999999999
0.65,0.655,0.66,0.4,0.8999999999999999,1.6049999999999984,0.4,0.8999999999999999,1.552499999999999
0.66,0.665,0.67,0.5,0.8999999999999999,1.5,0.5,1.0,1.5
0.67,0.675,0.68,0.3,0.8999999999999999,1.552499999999999,0.4,0.8,1.3
0.68,0.685,0.6900000000000001,0.4,0.8999999999999999,1.6,0.4,0.8,1.3524999999999991
0.6900000000000001,0.6950000000000001,0.7000000000000001,0.4,1.0,1.6,0.4475,1.0,1.552499999999999
0.7000000000000001,0.7050000000000001,0.71,0.4,0.8999999999999999,1.5,0.4,0.8999999999999999,1.552499999999999
