rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
19.3951,-20.6631,0.208571,2.75638,2.0363,89.9999,0.8013,80.0,0.3187,0.4265,0.936,0.2971
18.8275,-22.0114,0.286325,3.12688,1.2662,71.6832,0.8335,83.0,0.4804,0.39121999999999996,0.8396000000000001,0.09061999999999999
19.4784,-21.2596,0.274971,1.8143200000000002,4.2104,81.7156,0.7106,71.0,0.46276,0.420228,0.8936000000000001,0.29246
19.3727,-20.508,0.193853,3.2197,0.4065,23.0335,0.2506,25.0,0.21090000000000003,0.0345,0.99,0.155
19.388,-18.8152,0.0952738,4.75713,0.7318,-54.7859,0.557,55.0,0.11838800000000001,0.039400000000000004,0.972,0.18631999999999999
19.2626,-19.4034,0.11654,3.81834,2.1693,85.9425,0.2579,25.0,0.09918,0.19032,0.9328000000000001,0.11729999999999999
19.3734,-18.9094,0.0986081,3.10529,0.6377,44.1281,0.3904,39.0,0.18542,0.07174000000000001,0.904,0.2623
19.0383,-20.568,0.172988,3.3603400000000003,0.8878,-79.0432,0.4966,49.0,0.26284,0.06782,0.9148,0.11845999999999998
19.0064,-21.6452,0.265569,3.84829,0.4365,71.9242,0.2817,28.0,0.26440800000000003,0.09722000000000001,0.962,0.044219999999999995
17.3093,-20.3747,0.0759102,6.12716,4.3832,70.0915,0.4447,44.0,0.33535999999999994,0.46766,0.972,0.13005999999999998
18.0948,-19.6059,0.0767209,3.6159199999999996,3.05,-60.8726,0.1138,11.0,0.0345,0.4608,0.974,0.2536
17.632,-20.894,0.109501,6.9786600000000005,1.1375,-88.4422,0.2024,20.0,0.039400000000000004,0.2893,0.9436,0.032619999999999996
19.5862,-19.4611,0.136764,1.66388,0.8983,-65.4069,0.672,67.0,0.359468,0.15896000000000002,0.9316,0.10976
18.6109,-19.0731,0.0761105,7.10837,1.4139,-11.3487,0.3449,34.0,0.04626,0.32555999999999996,0.962,0.14572
18.114,-20.2181,0.100731,2.1259,1.8753,-75.0616,0.4483,44.0,0.285968,0.088988,0.962,0.12832
18.1011,-22.644,0.276102,4.18127,0.9757,2.5463,0.8672,86.0,0.48726,0.293808,0.8748000000000001,0.08481999999999999
19.7751,-20.9701,0.27574099999999996,5.68396,5.9879,-2.1337,0.2919,29.0,0.4167,0.44120000000000004,0.8620000000000001,0.1782
18.5397,-21.3375,0.193572,2.29677,4.4751,14.325,0.46,45.0,0.44316,0.256568,0.9248000000000001,0.242
19.4591,-21.2861,0.275421,1.8486,1.5545,51.9941,0.818,81.0,0.2305,0.27949999999999997,0.992,0.18689999999999998
18.1952,-22.5499,0.275541,3.47663,1.656,87.8488,0.6454,64.0,0.48138000000000003,0.18796800000000002,0.972,0.097
18.2228,-19.4837,0.0766105,3.01267,0.899,-23.4869,0.5006,50.0,0.26440800000000003,0.06782,0.982,0.24548
19.6951,-20.3433,0.206878,2.1051599999999997,2.3549,-49.0932,0.6936,69.0,0.4461,0.353,0.868,0.27680000000000005
18.1093,-22.1166,0.22341799999999998,6.31606,1.3133,-59.1122,0.8557,85.0,0.5,0.41669999999999996,0.9,0.05929999999999999
19.6378,-21.1073,0.275992,2.39744,1.5781,66.8161,0.4512,45.0,0.3873,0.4804,0.8648,0.27796000000000004
18.8869,-21.9102,0.281569,3.3793699999999998,3.2141,6.7682,0.9117,91.0,0.48628,0.317328,0.9356,0.20836
19.7329,-20.1369,0.192982,2.0105299999999997,0.3921,80.8213,0.8388,83.0,0.2746,0.16974000000000006,0.9596,0.11729999999999999
19.1876,-21.4797,0.267251,2.30579,3.7507,15.3364,0.0728,7.0,0.47746000000000005,0.439828,0.992,0.23329999999999995
19.2659,-16.1953,0.028262400000000003,4.92124,0.8206,70.2484,0.84,83.0,0.06546800000000001,0.16738800000000004,0.9356,0.1608
19.3897,-18.3168,0.0768408,3.4631800000000004,1.0949,-82.5984,0.4004,40.0,0.0541,0.31379999999999997,0.872,0.24489999999999995
19.6948,-20.9723,0.267231,3.3573199999999996,3.7253,-61.5734,0.8054,80.0,0.46766,0.46276,0.972,0.20661999999999997
19.0285,-19.5813,0.113505,2.38278,2.2381,37.5715,0.3674,36.0,0.31282,0.137988,0.9716,0.09061999999999999
17.8864,-19.8142,0.07641039999999999,3.63075,2.6026,-44.0553,0.5495,54.0,0.256568,0.20266800000000001,0.972,0.13992
18.5514,-19.155,0.07632,6.13879,1.0213,70.1573,0.2306,23.0,0.17130800000000004,0.05762800000000001,0.9016000000000001,0.040159999999999994
18.1757,-20.3084,0.107548,2.59863,2.5341,89.7593,0.702,70.0,0.19032,0.390828,0.972,0.29188000000000003
18.4759,-20.9653,0.16145299999999999,3.5903699999999996,1.7404,-19.7089,0.9849,98.0,0.2305,0.1668,0.962,0.097
17.9043,-20.7106,0.113755,3.3078800000000004,1.1552,-64.3609,0.4452,44.0,0.313408,0.10702,0.9368000000000001,0.10221999999999999
19.2728,-20.1244,0.1585,2.14564,0.9277,-73.1464,0.3553,35.0,0.304,0.157,0.974,0.1318
18.5897,-22.1916,0.279796,2.7925299999999997,3.1346,34.6314,0.9464,94.0,0.49608,0.13642,0.9436,0.01928
18.7678,-19.844,0.113605,2.57931,1.1059,10.3045,0.8445,84.0,0.30791999999999997,0.11838800000000001,0.972,0.08829999999999999
18.4743,-20.5273,0.1342,3.7241800000000005,1.5478,9.7181,0.6784,67.0,0.183068,0.045084000000000006,0.9436,0.05929999999999999
17.8321,-21.2127,0.137124,2.8706099999999997,3.154,62.2509,0.4723,47.0,0.30008,0.10506000000000001,0.9339999999999999,0.027399999999999994
17.5791,-21.4657,0.136122,3.70568,2.576,15.4118,0.527,52.0,0.04978800000000001,0.45296,0.982,0.27796000000000004
19.5517,-20.4868,0.20688800000000002,2.36574,0.7918,16.0045,0.5006,50.0,0.29714,0.15994000000000003,0.9248000000000001,0.08829999999999999
19.3383,-21.291,0.263196,2.54324,1.0002,62.7619,0.8512,85.0,0.38142,0.43826,0.9796,0.23561999999999994
18.6336,-21.7127,0.234531,4.35425,0.7646,14.9247,0.4192,41.0,0.270288,0.30105999999999994,0.972,0.08481999999999999
19.5762,-21.1097,0.26926300000000003,2.16505,2.6535,-36.4455,0.6594,65.0,0.43336,0.439828,0.9016000000000001,0.29246
18.9693,-21.0694,0.20690799999999998,3.05524,4.1196,42.6085,0.9612,96.0,0.48726,0.305568,0.864,0.12832
19.6443,-20.702,0.23479099999999997,1.9736599999999997,1.9937,85.8019,0.5413,54.0,0.40180399999999994,0.34966800000000003,0.9016000000000001,0.28898
19.1843,-21.6146,0.28177800000000003,3.09945,4.4222,-62.9478,0.7809,78.0,0.49608,0.172288,0.8716000000000002,0.032619999999999996
19.2975,-21.0624,0.235963,2.18926,1.2016,77.447,0.8431,84.0,0.38690800000000003,0.11682000000000001,0.96,0.061619999999999994
18.6339,-22.1587,0.281057,3.4294300000000004,3.7822,-47.2412,0.9824,98.0,0.49118,0.28400800000000004,0.96,0.061619999999999994
19.5928,-20.7679,0.23604299999999998,2.21518,1.9059,-26.2842,0.8822,88.0,0.28636,0.1864,0.924,0.040159999999999994
19.3618,-21.433,0.28131799999999996,2.87201,3.343,-67.8399,0.8297,82.0,0.47746000000000005,0.341828,0.8896000000000001,0.12832
18.9829,-21.3659,0.234902,4.01392,1.08,54.953,0.7458,74.0,0.17072,0.3971,0.904,0.1318
19.551,-19.9415,0.164957,3.7149400000000004,0.8359,6.0385,0.8267,82.0,0.16582000000000002,0.036460000000000006,0.9096000000000001,0.019859999999999996
19.4963,-20.77,0.22713200000000003,2.78314,0.7945,-15.1762,0.9507,95.0,0.26558399999999993,0.09800400000000001,0.982,0.09061999999999999
19.3912,-19.6104,0.13409000000000001,4.7303,1.649,-61.1127,0.9759,97.0,0.05606,0.21972,0.962,0.07322
17.9742,-21.064,0.136242,2.92603,4.0261,-39.3035,0.8167,81.0,0.4804,0.43041999999999997,0.9107999999999999,0.13992
18.8697,-19.6641,0.10987000000000001,2.7252099999999997,2.1346,-20.3874,0.765,76.0,0.21972,0.4314,0.9396,0.26636000000000004
19.7128,-20.7571,0.246745,3.41059,0.6785,6.8598,0.3984,39.0,0.23422399999999996,0.056844000000000006,0.9328000000000001,0.061619999999999994
19.4193,-21.3693,0.28025700000000003,3.70165,0.8567,51.0391,0.9166,91.0,0.092908,0.32555999999999996,0.9139999999999999,0.061619999999999994
19.1243,-21.2302,0.235442,2.4654599999999998,2.6248,74.5795,0.6518,65.0,0.4265,0.4314,0.8460000000000001,0.2594
19.7846,-20.8389,0.262334,1.77738,1.0201,-47.6046,0.1885,18.0,0.0835,0.4559,0.896,0.2014
18.8933,-20.8247,0.18121600000000002,2.86085,0.8574,-59.9278,0.8073,80.0,0.431988,0.33006800000000003,0.9216000000000001,0.29768
19.3549,-21.2608,0.261754,2.3355099999999998,3.4858,11.6374,0.7879,78.0,0.4167,0.353,0.9219999999999999,0.22169999999999998
18.3404,-19.4276,0.07885299999999999,5.1676400000000005,0.7661,-2.9409,0.425,42.0,0.145828,0.016860000000000003,0.96,0.09061999999999999
19.771,-20.8582,0.263175,2.49666,0.6476,56.0225,0.7683,76.0,0.35202,0.161508,0.9716,0.11381999999999999
19.4666,-21.3576,0.28465100000000004,2.70531,1.063,13.761,0.7662,76.0,0.4853,0.4608,0.8620000000000001,0.23329999999999995
19.3639,-21.2655,0.26319499999999996,3.3797,2.0163,56.8084,0.3327,33.0,0.30008,0.21775999999999995,0.9188,0.1318
18.6095,-20.7501,0.156026,2.95205,0.8507,-64.1484,0.5133,51.0,0.34026,0.11486,0.9288000000000001,0.08829999999999999
17.1522,-21.4352,0.112423,5.1344199999999995,0.9259,29.5322,0.6688,66.0,0.4804,0.353,0.962,0.2855
19.2002,-21.6439,0.286393,2.00706,2.9481,19.0477,0.2683,26.0,0.29125999999999996,0.279304,0.962,0.242
19.449,-21.1795,0.26310500000000003,2.32123,0.4948,-29.1298,0.8969,89.0,0.43041999999999997,0.16876,0.924,0.05929999999999999
18.7739,-22.0716,0.287094,3.6051,1.7968,62.7417,0.7378,73.0,0.48628,0.35202,0.8608,0.1608
19.1148,-21.7293,0.286503,3.56218,0.5865,30.6146,0.6578,65.0,0.43826000000000004,0.409644,0.9396,0.24141999999999997
19.6487,-21.1953,0.28787399999999996,2.40116,1.2633,-20.2291,0.6466,64.0,0.352804,0.145828,0.9316,0.032619999999999996
18.5156,-21.9895,0.250299,2.3956,3.7787,-9.0544,0.8981,89.0,0.4951,0.27949999999999997,0.908,0.07669999999999999
18.8888,-19.2192,0.0912169,2.7555099999999997,0.7785,84.3457,0.5782,57.0,0.248728,0.05762800000000001,0.8936000000000001,0.23561999999999994
18.2032,-19.9048,0.0916372,2.08005,2.0309,-66.8067,0.9583,95.0,0.28831999999999997,0.088988,0.972,0.05929999999999999
